SUBMIT DATE,count
2015-12-16,496
2015-12-17,654
2015-12-18,558
2015-12-19,7
2015-12-20,4
2015-12-21,288
2015-12-22,244
2015-12-23,498
2015-12-24,100
2015-12-25,50
2015-12-26,8
2015-12-27,11
2015-12-28,586
2015-12-29,458
2015-12-30,424
2015-12-31,626
2016-01-01,13
2016-01-02,4
2016-01-03,3
2016-01-04,471
2016-01-05,583
2016-01-06,478
2016-01-07,545
2016-01-08,349
2016-01-09,11
2016-01-10,3
2016-01-11,473
2016-01-12,592
2016-01-13,473
2016-01-14,290
2016-01-15,336
2016-01-16,6
2016-01-17,6
2016-01-18,312
2016-01-19,571
2016-01-20,500
2016-01-21,700
2016-01-22,318
2016-01-23,6
2016-01-24,9
2016-01-25,390
2016-01-26,353
2016-01-27,431
2016-01-28,506
2016-01-29,458
2016-01-30,6
2016-01-31,19
2016-02-01,556
2016-02-02,631
2016-02-03,577
2016-02-04,701
2016-02-05,839
2016-02-06,3
2016-02-07,29
2016-02-08,414
2016-02-09,553
2016-02-10,449
2016-02-11,690
2016-02-12,593
2016-02-13,43
2016-02-14,52
2016-02-15,348
2016-02-16,677
2016-02-17,845
2016-02-18,853
2016-02-19,1112
2016-02-20,126
2016-02-21,89
2016-02-22,1067
2016-02-23,1107
2016-02-24,959
2016-02-25,1400
2016-02-26,1096
2016-02-27,299
2016-02-28,45
2016-02-29,1058
2016-03-01,1178
2016-03-02,1519
2016-03-03,1160
2016-03-04,1527
2016-03-05,536
2016-03-06,71
2016-03-07,1866
2016-03-08,1953
2016-03-09,1630
2016-03-10,1880
2016-03-11,1690
2016-03-12,1113
2016-03-13,236
2016-03-14,1411
2016-03-15,1394
2016-03-16,1631
2016-03-17,1476
2016-03-18,1398
2016-03-19,267
2016-03-20,440
2016-03-21,1216
2016-03-22,1317
2016-03-23,1038
2016-03-24,743
2016-03-25,416
2016-03-26,98
2016-03-27,17
2016-03-28,348
2016-03-29,385
2016-03-30,266
2016-03-31,293
2016-04-01,288
2016-04-02,15
2016-04-03,3
2016-04-04,235
2016-04-05,365
2016-04-06,356
2016-04-07,336
2016-04-08,350
2016-04-09,8
2016-04-10,4
2016-04-11,376
2016-04-12,391
2016-04-13,335
2016-04-14,324
2016-04-15,283
2016-04-16,9
2016-04-17,4
2016-04-18,404
2016-04-19,381
2016-04-20,301
2016-04-21,305
2016-04-22,352
2016-04-23,2
2016-04-24,2
2016-04-25,288
2016-04-26,343
2016-04-27,346
2016-04-28,348
2016-04-29,296
2016-04-30,14
2016-05-02,341
2016-05-03,272
2016-05-04,400
2016-05-05,313
2016-05-06,332
2016-05-07,3
2016-05-08,7
2016-05-09,307
2016-05-10,379
2016-05-11,323
2016-05-12,310
2016-05-13,235
2016-05-14,5
2016-05-16,358
2016-05-17,315
2016-05-18,293
2016-05-19,333
2016-05-20,410
2016-05-21,5
2016-05-22,7
2016-05-23,540
2016-05-24,476
2016-05-25,475
2016-05-26,483
2016-05-27,351
2016-05-28,13
2016-05-29,1
2016-05-30,141
2016-05-31,285
2016-06-01,298
2016-06-02,288
2016-06-03,294
2016-06-04,2
2016-06-05,1
2016-06-06,303
2016-06-07,294
2016-06-08,398
2016-06-09,358
2016-06-10,286
2016-06-11,5
2016-06-13,319
2016-06-14,299
2016-06-15,293
2016-06-16,329
2016-06-17,381
2016-06-18,8
2016-06-19,2
2016-06-20,251
2016-06-21,256
2016-06-22,330
2016-06-23,337
2016-06-24,270
2016-06-25,13
2016-06-26,6
2016-06-27,241
2016-06-28,453
2016-06-29,435
2016-06-30,320
2016-07-01,196
2016-07-02,6
2016-07-03,2
2016-07-04,14
2016-07-05,243
2016-07-06,243
2016-07-07,210
2016-07-08,340
2016-07-09,4
2016-07-10,8
2016-07-11,262
2016-07-12,341
2016-07-13,318
2016-07-14,313
2016-07-15,356
2016-07-16,11
2016-07-17,2
2016-07-18,290
2016-07-19,324
2016-07-20,381
2016-07-21,366
2016-07-22,267
2016-07-23,3
2016-07-24,14
2016-07-25,248
2016-07-26,328
2016-07-27,290
2016-07-28,280
2016-07-29,274
2016-07-30,23
2016-08-01,338
2016-08-02,309
2016-08-03,328
2016-08-04,308
2016-08-05,314
2016-08-06,16
2016-08-07,15
2016-08-08,296
2016-08-09,309
2016-08-10,365
2016-08-11,256
2016-08-12,271
2016-08-13,3
2016-08-15,171
2016-08-16,280
2016-08-17,298
2016-08-18,340
2016-08-19,270
2016-08-20,8
2016-08-21,5
2016-08-22,304
2016-08-23,282
2016-08-24,288
2016-08-25,268
2016-08-26,292
2016-08-27,11
2016-08-28,2
2016-08-29,236
2016-08-30,338
2016-08-31,235
2016-09-01,322
2016-09-02,312
2016-09-03,10
2016-09-04,1
2016-09-05,39
2016-09-06,258
2016-09-07,317
2016-09-08,268
2016-09-09,262
2016-09-10,8
2016-09-11,2
2016-09-12,271
2016-09-13,295
2016-09-14,319
2016-09-15,257
2016-09-16,276
2016-09-17,3
2016-09-18,2
2016-09-19,254
2016-09-20,308
2016-09-21,248
2016-09-22,239
2016-09-23,257
2016-09-24,8
2016-09-25,1
2016-09-26,187
2016-09-27,261
2016-09-28,313
2016-09-29,207
2016-09-30,290
2016-10-01,5
2016-10-02,3
2016-10-03,219
2016-10-04,288
2016-10-05,265
2016-10-06,305
2016-10-07,231
2016-10-10,35
2016-10-11,294
2016-10-12,219
2016-10-13,268
2016-10-14,186
2016-10-15,6
2016-10-16,15
2016-10-17,255
2016-10-18,220
2016-10-19,229
2016-10-20,276
2016-10-21,195
2016-10-22,16
2016-10-23,15
2016-10-24,236
2016-10-25,272
2016-10-26,283
2016-10-27,306
2016-10-28,336
2016-10-29,29
2016-10-30,2
2016-10-31,183
2016-11-01,257
2016-11-02,223
2016-11-03,329
2016-11-04,313
2016-11-05,20
2016-11-06,15
2016-11-07,271
2016-11-08,299
2016-11-09,292
2016-11-10,249
2016-11-11,358
2016-11-12,4
2016-11-13,20
2016-11-14,284
2016-11-15,334
2016-11-16,445
2016-11-17,244
2016-11-18,354
2016-11-19,4
2016-11-20,18
2016-11-21,319
2016-11-22,606
2016-11-23,476
2016-11-24,31
2016-11-25,36
2016-11-27,4
2016-11-28,731
2016-11-29,301
2016-11-30,459
2016-12-01,427
2016-12-02,402
2016-12-03,10
2016-12-04,26
2016-12-05,409
2016-12-06,521
2016-12-07,466
2016-12-08,437
2016-12-09,517
2016-12-10,3
2016-12-11,22
2016-12-12,443
2016-12-13,254
2016-12-14,439
2016-12-15,366
2016-12-16,350
2016-12-17,5
2016-12-18,34
2016-12-19,378
2016-12-20,545
2016-12-21,451
2016-12-22,490
2016-12-23,388
2016-12-24,2
2016-12-25,2
2016-12-26,89
2016-12-27,733
2016-12-28,314
2016-12-29,522
2016-12-30,420
2016-12-31,1
2017-01-01,8
2017-01-02,68
2017-01-03,706
2017-01-04,631
2017-01-05,435
2017-01-06,549
2017-01-07,4
2017-01-08,16
2017-01-09,565
2017-01-10,546
2017-01-11,539
2017-01-12,513
2017-01-13,496
2017-01-14,3
2017-01-15,2
2017-01-16,368
2017-01-17,475
2017-01-18,546
2017-01-19,527
2017-01-20,638
2017-01-21,5
2017-01-22,4
2017-01-23,416
2017-01-24,514
2017-01-25,527
2017-01-26,209
2017-01-27,462
2017-01-28,2
2017-01-29,9
2017-01-30,451
2017-01-31,458
2017-02-01,595
2017-02-02,653
2017-02-03,618
2017-02-04,353
2017-02-05,72
2017-02-06,665
2017-02-07,576
2017-02-08,471
2017-02-09,413
2017-02-10,508
2017-02-11,86
2017-02-12,13
2017-02-13,524
2017-02-14,983
2017-02-15,1053
2017-02-16,753
2017-02-17,663
2017-02-18,84
2017-02-19,112
2017-02-20,363
2017-02-21,756
2017-02-22,709
2017-02-23,781
2017-02-24,768
2017-02-25,368
2017-02-26,142
2017-02-27,959
2017-02-28,1211
2017-03-01,1045
2017-03-02,990
2017-03-03,969
2017-03-04,227
2017-03-05,106
2017-03-06,1341
2017-03-07,1754
2017-03-08,1652
2017-03-09,1599
2017-03-10,1938
2017-03-11,547
2017-03-12,175
2017-03-13,1199
2017-03-14,1256
2017-03-15,1717
2017-03-16,1634
2017-03-17,1860
2017-03-18,540
2017-03-19,656
2017-03-20,1619
2017-03-21,1329
2017-03-22,1239
2017-03-23,1007
2017-03-24,794
